id,key,value,type
27930713,forward,2,lanes
27930713,backward,2,lanes
27930713,forward,40,maxspeed
27930713,backward,30,maxspeed
27930731,foot,yes,regular
27930731,name,Calle Jaén,regular
27930731,lanes,2,regular
27930731,oneway,no,regular
27930731,highway,unclassified,regular
27930731,surface,asphalt,regular
27930732,name,Calle Cid Campeador,regular
27930732,lanes,1,regular
27930732,oneway,yes,regular
27930732,highway,residential,regular
27930735,name,Avenida Alcalde de Móstoles,regular
27930735,oneway,no,regular
27930735,highway,tertiary,regular
27930735,sidewalk,both,regular
27930735,forward,1,lanes
27930735,backward,1,lanes
27930738,name,Avenida Alcalde de Móstoles,regular
27930738,oneway,no,regular
27930738,highway,residential,regular
27930738,sidewalk,both,regular
27930738,forward,1,lanes
27930738,backward,1,lanes
27930742,lit,yes,regular
27930742,foot,designated,regular
27930742,name,Avenida de la Constitución,regular
27930742,lanes,1,regular
27930742,oneway,yes,regular
27930742,highway,living_street,regular
27930742,surface,paving_stones,regular
27930742,motor_vehicle,permissive,regular
27930747,name,Calle Libertad,regular
27930747,oneway,yes,regular
27930747,highway,residential,regular
27930749,name,Calle del Empecinado,regular
27930749,highway,residential,regular
27930758,name,Calle de Las Palmas,regular
27930758,oneway,no,regular
27930758,highway,residential,regular
27930759,name,Paseo de Goya,regular
27930759,oneway,yes,regular
27930759,highway,residential,regular
27930759,surface,asphalt,regular
27930777,name,Calle Villaamil,regular
27930777,oneway,yes,regular
27930777,highway,residential,regular
27930777,sidewalk,both,regular
27930789,name,Calle del Río Segura,regular
27930789,highway,residential,regular
27930802,name,Calle del Río Duero,regular
27930802,oneway,no,regular
27930802,highway,residential,regular
27930804,name,Parque Brigadas Internacionales,regular
27930804,leisure,park,regular
27930808,name,Calle Río Jalón,regular
27930808,lanes,1,regular
27930808,oneway,yes,regular
27930808,highway,residential,regular
27930808,maxspeed,40,regular
27930809,name,Calle del Río Ebro,regular
27930809,oneway,no,regular
27930809,highway,residential,regular
27930809,surface,paved,regular
27930809,forward,1,lanes
27930809,backward,1,lanes
27930817,name,Calle Cámara de la Industria,regular
27930817,oneway,yes,regular
27930817,highway,unclassified,regular
27930830,lit,yes,regular
27930830,name,Calle Camino de Humanes,regular
27930830,lanes,2,regular
27930830,oneway,no,regular
27930830,highway,residential,regular
27930830,surface,asphalt,regular
27930833,name,Avenida de Carlos V,regular
27930833,lanes,2,regular
27930833,highway,tertiary,regular
27930834,name,Calle Empecinado,regular
27930834,lanes,2,regular
27930834,highway,residential,regular
27930836,name,Calle del Pintor Velázquez,regular
27930836,lanes,2,regular
27930836,highway,residential,regular
27930839,name,Calle Gran Capitán,regular
27930839,oneway,no,regular
27930839,highway,residential,regular
27930839,sidewalk,both,regular
27930839,forward,1,lanes
27930839,backward,1,lanes
27930847,name,Calle Pintor Picasso,regular
27930847,lanes,1,regular
27930847,oneway,yes,regular
27930847,highway,residential,regular
27930847,surface,asphalt,regular
27949725,foot,no,regular
27949725,name,Calle Oslo,regular
27949725,oneway,yes,regular
27949725,highway,residential,regular
27949733,name,Santo Domingo,regular
27949733,leisure,sports_centre,regular
27949788,lit,yes,regular
27949788,name,Calle Moraleja de Enmedio,regular
27949788,lanes,1,regular
27949788,highway,residential,regular
27949788,surface,asphalt,regular
28051010,name,Avenida de Felipe II,regular
28051010,oneway,yes,regular
28051010,highway,residential,regular
28051011,highway,residential,regular
28051011,lanes,2,regular
28051011,maxspeed,50,regular
28051011,name,Calle de los Hermanos Pinzón,regular
28051011,surface,asphalt,regular
28051012,name,Calle Baleares,regular
28051012,oneway,yes,regular
28051012,highway,residential,regular
28051013,name,Calle Nueva York,regular
28051013,highway,residential,regular
28051021,name,Calle de Las Palmas,regular
28051021,oneway,no,regular
28051021,highway,residential,regular
28051023,name,Calle Coronel de Palma,regular
28051023,oneway,yes,regular
28051023,highway,residential,regular
28051024,name,Calle Maldonado,regular
28051024,oneway,yes,regular
28051024,highway,residential,regular
28051029,name,Calle Río Bidasoa,regular
28051029,oneway,yes,regular
28051029,highway,residential,regular
28051030,name,Calle de Huesca,regular
28051030,oneway,yes,regular
28051030,highway,residential,regular
28051037,name,Calle Río Nervión,regular
28051037,oneway,yes,regular
28051037,highway,residential,regular
28051040,name,Calle de Logroño,regular
28051040,oneway,yes,regular
28051040,highway,residential,regular
28051045,name,Calle de Teruel,regular
28051045,oneway,yes,regular
28051045,highway,residential,regular
28051049,name,Calle de Soria,regular
28051049,oneway,yes,regular
28051049,highway,residential,regular
28051052,highway,residential,regular
28051053,name,Calle Roma,regular
28051053,highway,residential,regular
28051057,lit,yes,regular
28051057,name,Calle del Desarrollo,regular
28051057,lanes,2,regular
28051057,oneway,no,regular
28051057,highway,residential,regular
28051057,surface,asphalt,regular
28051122,name,Calle Veracruz,regular
28051122,oneway,yes,regular
28051122,highway,residential,regular
28051128,name,Calle de Castellón,regular
28051128,oneway,yes,regular
28051128,highway,residential,regular
28051129,name,Calle de Guadalajara,regular
28051129,oneway,yes,regular
28051129,highway,residential,regular
28051130,name,Calle Valladolid,regular
28051130,oneway,yes,regular
28051130,highway,residential,regular
28051140,lit,yes,regular
28051140,name,Calle San Antonio,regular
28051140,lanes,1,regular
28051140,highway,living_street,regular
28051140,surface,paving_stones,regular
28051147,name,Calle Independencia,regular
28051147,oneway,yes,regular
28051147,highway,residential,regular
28051148,name,Calle de Agustina de Aragón,regular
28051148,oneway,yes,regular
28051148,highway,residential,regular
28051151,name,Calle Juan XXIII,regular
28051151,highway,residential,regular
28051151,right,shared_lane,cycleway
28051155,name,Calle de Andrés Torrejón,regular
28051155,highway,residential,regular
28051157,name,Paseo de la Estación,regular
28051157,oneway,yes,regular
28051157,highway,residential,regular
