id,user,uid,version,changeset,timestamp
28051057,Raul Gonzalez,1947048,14,30731941,2015-05-02T20:41:37Z
28051122,Antonio Garzón,648006,12,20736494,2014-02-23T17:50:08Z
28051128,jespa,915419,7,20892332,2014-03-03T17:07:14Z
28051129,jespa,915419,5,20892332,2014-03-03T17:07:13Z
28051130,c_gonzalez,708476,6,12452708,2012-07-23T16:02:00Z
28051140,Raul Gonzalez,1947048,9,22626617,2014-05-29T20:15:43Z
28051147,Antonio Garzón,648006,14,30732459,2015-05-02T21:00:55Z
28051148,Antonio Garzón,648006,10,20736494,2014-02-23T17:50:08Z
28051151,Kiwi6,1957205,14,38144839,2016-03-29T13:54:00Z
28051155,Luiyo,316694,7,36286548,2015-12-31T17:01:45Z
28051157,polkillas,42055,12,26346707,2014-10-26T19:09:58Z
28051161,mor,220932,22,30522661,2015-04-27T01:46:41Z
28051183,rubensd,472193,6,46055495,2017-02-13T18:02:08Z
28051190,polkillas,42055,5,25668647,2014-09-25T16:37:10Z
28051200,polkillas,42055,8,26346707,2014-10-26T19:09:59Z
28051213,mor,220932,10,43681422,2016-11-15T21:19:31Z
28051219,jespa,915419,10,45771831,2017-02-03T08:51:08Z
28051225,Antonio Garzón,648006,13,25055809,2014-08-27T16:32:47Z
28051228,Antonio Garzón,648006,7,25055809,2014-08-27T16:32:48Z
28051229,mor,220932,11,43681422,2016-11-15T21:19:32Z
28051231,Raul Gonzalez,1947048,8,22657354,2014-05-31T15:08:17Z
28051233,Antonio Garzón,648006,8,49833717,2017-06-26T11:36:09Z
28051236,Antonio Garzón,648006,12,49834441,2017-06-26T12:06:22Z
28051252,Luiyo,316694,10,37981326,2016-03-21T17:29:35Z
28051277,cirdancarpintero,2245342,21,39567026,2016-05-25T20:52:11Z
28051290,Raul Gonzalez,1947048,11,22712048,2014-06-03T10:47:04Z
28051295,yevs,2468852,8,48709555,2017-05-15T18:44:19Z
28051297,c_gonzalez,708476,3,12039591,2012-06-27T18:37:45Z
28051298,polkillas,42055,3,24639784,2014-08-09T18:44:28Z
28051302,polkillas,42055,13,29888613,2015-03-31T19:42:32Z
28051311,Raul Gonzalez,1947048,9,31104676,2015-05-13T13:56:10Z
28051312,Antonio Garzón,648006,8,16369002,2013-05-31T18:39:02Z
28051339,karitotp,2748195,6,38937161,2016-04-27T22:05:00Z
28051343,robertogeb,491515,2,11858826,2012-06-10T20:18:50Z
28051351,robertogeb,491515,4,11858826,2012-06-10T20:18:54Z
28051354,Antonio Garzón,648006,2,16174289,2013-05-17T23:42:38Z
28051361,Raul Gonzalez,1947048,6,30900428,2015-05-08T11:03:21Z
28051363,polkillas,42055,7,24503939,2014-08-02T19:41:20Z
28051367,Raul Gonzalez,1947048,7,30900327,2015-05-08T10:59:14Z
28051369,polkillas,42055,5,29888613,2015-03-31T19:42:47Z
28051372,c_gonzalez,708476,9,12039591,2012-06-27T18:37:45Z
28051379,yevs,2468852,5,48709603,2017-05-15T18:46:32Z
28051383,polkillas,42055,4,29888613,2015-03-31T19:42:45Z
28051386,polkillas,42055,7,25668647,2014-09-25T16:37:10Z
28051394,polkillas,42055,6,25668647,2014-09-25T16:37:10Z
28051396,rubensd,472193,5,46055495,2017-02-13T18:02:09Z
28051399,Antonio Garzón,648006,17,16343074,2013-05-29T20:02:30Z
28051408,JavierSp,3196761,8,39664947,2016-05-30T12:52:12Z
28051411,sancane,320437,2,5288456,2010-07-22T15:33:32Z
28051422,OpenSourceForEver,2153421,20,50163687,2017-07-10T00:02:08Z
28051440,Raul Gonzalez,1947048,6,22656892,2014-05-31T14:29:58Z
28051445,Raul Gonzalez,1947048,10,20851818,2014-03-01T19:12:00Z
28051454,Raul Gonzalez,1947048,13,35430943,2015-11-19T10:26:28Z
28051456,polkillas,42055,28,19400632,2013-12-11T19:12:27Z
28051462,c_gonzalez,708476,10,12077673,2012-07-01T15:43:37Z
28051463,Luiyo,316694,11,38672718,2016-04-18T17:08:17Z
28051475,robertogeb,491515,11,17354242,2013-08-15T04:34:44Z
28051483,c_gonzalez,708476,8,33465524,2015-08-20T15:52:33Z
28051485,c_gonzalez,708476,8,33443365,2015-08-19T16:07:07Z
28051487,c_gonzalez,708476,8,33443365,2015-08-19T16:07:09Z
28051490,Raul Gonzalez,1947048,11,35430943,2015-11-19T10:26:34Z
28051491,Luiyo,316694,11,30883281,2015-05-07T19:36:26Z
28051495,Luiyo,316694,12,30883281,2015-05-07T19:36:26Z
28051500,polkillas,42055,14,26418914,2014-10-29T18:34:00Z
28051504,polkillas,42055,12,26417808,2014-10-29T18:20:56Z
28051506,polkillas,42055,7,26417808,2014-10-29T18:20:57Z
28051513,Raul Gonzalez,1947048,14,35552252,2015-11-24T14:58:50Z
28051522,Raul Gonzalez,1947048,15,35459872,2015-11-20T12:08:48Z
28051523,Raul Gonzalez,1947048,20,35431100,2015-11-19T10:34:52Z
28051524,guannais,87759,19,51682262,2017-09-02T23:36:17Z
28051546,Raul Gonzalez,1947048,14,20853744,2014-03-01T20:46:52Z
28051548,jespa,915419,15,49742095,2017-06-22T09:57:45Z
28051556,Antonio Garzón,648006,16,49860209,2017-06-27T12:06:58Z
28051581,Cuenqui,3649461,11,47428182,2017-04-04T00:41:47Z
28051672,dvidrie,8076,10,28464832,2015-01-28T13:19:00Z
28052353,polkillas,42055,5,26303985,2014-10-24T16:46:34Z
28052363,Antonio Garzón,648006,13,36473065,2016-01-09T23:41:01Z
28107616,Cuenqui,3649461,6,49783555,2017-06-24T00:20:50Z
28107617,Cuenqui,3649461,6,49783555,2017-06-24T00:20:50Z
28107620,mor,220932,20,35714238,2015-12-02T20:39:38Z
28107639,Raul Gonzalez,1947048,13,22812546,2014-06-08T16:04:50Z
28107659,Raul Gonzalez,1947048,7,22812546,2014-06-08T16:04:50Z
28107664,Raul Gonzalez,1947048,9,28231083,2015-01-18T13:51:32Z
28107665,Raul Gonzalez,1947048,9,28800756,2015-02-12T17:40:55Z
28107674,c_gonzalez,708476,4,12077673,2012-07-01T15:43:37Z
28107732,sanchi,170106,7,44537703,2016-12-20T10:23:21Z
28107733,Raul Gonzalez,1947048,8,22794916,2014-06-07T15:43:52Z
28107745,Antonio Garzón,648006,7,25983471,2014-10-10T13:58:55Z
28107750,Luiyo,316694,7,37981326,2016-03-21T17:29:31Z
28107752,jespa,915419,5,45771831,2017-02-03T08:51:08Z
28107753,Antonio Garzón,648006,8,48037028,2017-04-22T15:48:50Z
28107758,Antonio Garzón,648006,11,47967394,2017-04-20T10:43:22Z
28107763,polkillas,42055,12,26417808,2014-10-29T18:20:54Z
28107764,guannais,87759,18,51682262,2017-09-02T23:36:17Z
28107766,guannais,87759,22,51682262,2017-09-02T23:36:18Z
28107767,Antonio Garzón,648006,8,49833097,2017-06-26T11:02:02Z
28107772,Antonio Garzón,648006,9,49833097,2017-06-26T11:02:02Z
28107773,Antonio Garzón,648006,9,49833097,2017-06-26T11:02:02Z
28107775,Antonio Garzón,648006,6,38487941,2016-04-11T23:50:00Z
28107780,Luiyo,316694,3,37981326,2016-03-21T17:29:33Z
28107791,Raul Gonzalez,1947048,11,22795885,2014-06-07T16:45:16Z
28107794,Luiyo,316694,14,37981326,2016-03-21T17:29:30Z
28107811,dannykath,2226712,9,41944065,2016-09-06T01:01:33Z
28107812,jespa,915419,2,20892332,2014-03-03T17:07:17Z
28107814,Luiyo,316694,9,36131913,2015-12-23T18:39:05Z
28107820,jespa,915419,8,49742095,2017-06-22T09:57:45Z
28107823,Kiwi6,1957205,7,38144839,2016-03-29T13:54:00Z
28107827,polkillas,42055,9,25669343,2014-09-25T17:05:15Z
28107829,Antonio Garzón,648006,8,38487941,2016-04-11T23:50:01Z
28107830,polkillas,42055,3,26346582,2014-10-26T18:07:50Z
28107831,mor,220932,6,30387217,2015-04-21T18:51:14Z
28107836,polkillas,42055,6,29878373,2015-03-31T14:38:47Z
28107838,jcaden,191852,2,5306453,2010-07-24T19:25:27Z
28107840,Antonio Garzón,648006,8,20454161,2014-02-08T20:36:38Z
28107841,Luiyo,316694,9,24166142,2014-07-15T18:12:32Z
28107842,mor,220932,7,30642945,2015-04-30T00:59:22Z
28107843,mor,220932,8,30642945,2015-04-30T00:59:22Z
28107844,polkillas,42055,5,26346582,2014-10-26T18:07:50Z
28214585,jpereza,587812,9,48177130,2017-04-26T22:30:06Z
28214587,jpereza,587812,11,16784039,2013-07-01T21:38:16Z
28214589,Cuenqui,3649461,8,47428182,2017-04-04T00:41:47Z
28216153,polkillas,42055,6,27537089,2014-12-17T19:25:14Z
28216156,jpereza,587812,6,16784039,2013-07-01T21:38:15Z
28216192,Sercontr,1725553,7,50279642,2017-07-14T10:40:48Z
28216197,polkillas,42055,7,21212303,2014-03-20T16:22:23Z
28216203,Antonio Garzón,648006,12,43844149,2016-11-21T11:13:53Z
28669231,Raul Gonzalez,1947048,7,21924424,2014-04-25T07:15:05Z
28669238,c_gonzalez,708476,17,33402127,2015-08-17T20:48:48Z
28669249,robertogeb,491515,8,11860420,2012-06-10T23:45:01Z
28669250,jamesks,2500,3,1345920,2009-05-28T20:25:10Z
28669251,Sercontr,1725553,6,49416510,2017-06-10T09:45:43Z
28669255,polkillas,42055,14,20125153,2014-01-21T17:07:24Z
28669258,cirdancarpintero,2245342,10,39567026,2016-05-25T20:52:10Z
28669259,Luiyo,316694,4,37981326,2016-03-21T17:29:35Z
28669261,Raul Gonzalez,1947048,11,35431179,2015-11-19T10:38:13Z
28682334,jamesks,2500,2,1345920,2009-05-28T20:30:42Z
28682335,jamesks,2500,2,804261,2008-11-28T12:26:02Z
28682343,Raul Gonzalez,1947048,4,28358390,2015-01-23T20:09:40Z
28682385,Sercontr,1725553,7,49472718,2017-06-12T15:45:22Z
28682387,polkillas,42055,7,21212303,2014-03-20T16:22:22Z
28682388,Raul Gonzalez,1947048,3,21503991,2014-04-04T21:21:48Z
28682395,Raul Gonzalez,1947048,7,21924424,2014-04-25T07:15:05Z
28682400,c_gonzalez,708476,10,33443365,2015-08-19T16:07:08Z
28682405,Raul Gonzalez,1947048,17,22500679,2014-05-23T08:38:16Z
28682418,Hjart,207581,19,35433921,2015-11-19T13:13:59Z
28682435,Raul Gonzalez,1947048,9,30731808,2015-05-02T20:37:20Z
28682507,c_gonzalez,708476,5,33402854,2015-08-17T21:15:57Z
28685132,Antonio Garzón,648006,4,42805411,2016-10-11T15:01:30Z
28685133,Antonio Garzón,648006,11,49868572,2017-06-27T17:27:58Z
28685135,c_gonzalez,708476,7,12246423,2012-07-16T15:02:15Z
28685137,Raul Gonzalez,1947048,9,22797606,2014-06-07T18:43:57Z
28685139,rubensd,472193,8,46055600,2017-02-13T18:05:20Z
28685142,Raul Gonzalez,1947048,5,22643948,2014-05-30T18:48:18Z
28685143,mor,220932,5,30522661,2015-04-27T01:47:12Z
28685174,Luiyo,316694,8,37981326,2016-03-21T17:29:34Z
28685177,Antonio Garzón,648006,5,16556620,2013-06-14T21:49:53Z
28685204,Luiyo,316694,5,37981326,2016-03-21T17:29:34Z
28685253,CarlosMG,2163609,5,50561276,2017-07-25T14:49:54Z
28685257,Luiyo,316694,6,37981326,2016-03-21T17:29:31Z
28685303,Luiyo,316694,7,37981326,2016-03-21T17:29:30Z
28685313,Antonio Garzón,648006,8,49866875,2017-06-27T16:28:01Z
28685315,Luiyo,316694,5,37981326,2016-03-21T17:29:38Z
28685319,polkillas,42055,2,27735178,2014-12-27T17:18:23Z
28685325,Raul Gonzalez,1947048,10,35459833,2015-11-20T12:06:50Z
28685341,Antonio Garzón,648006,7,49834441,2017-06-26T12:06:22Z
28685360,Antonio Garzón,648006,9,49833097,2017-06-26T11:02:03Z
28685364,Antonio Garzón,648006,5,49833097,2017-06-26T11:02:03Z
28685367,Antonio Garzón,648006,5,49833097,2017-06-26T11:02:03Z
28685369,Luiyo,316694,8,37981326,2016-03-21T17:29:30Z
28685370,Luiyo,316694,5,37981326,2016-03-21T17:29:28Z
28685372,Luiyo,316694,6,37981326,2016-03-21T17:29:28Z
28685375,Luiyo,316694,5,37981326,2016-03-21T17:29:40Z
28685377,Luiyo,316694,4,39360021,2016-05-16T18:42:14Z
28685380,rubensd,472193,7,46055725,2017-02-13T18:10:19Z
28685382,rubensd,472193,6,46055725,2017-02-13T18:10:19Z
28685385,polkillas,42055,7,24639784,2014-08-09T18:44:27Z
28685420,Raul Gonzalez,1947048,5,22679878,2014-06-01T18:53:41Z
28685423,Antonio Garzón,648006,4,25055809,2014-08-27T16:32:47Z
28685432,OpenSourceForEver,2153421,9,50163687,2017-07-10T00:02:08Z
28685440,Raul Gonzalez,1947048,3,22656117,2014-05-31T13:37:21Z
28685447,Antonio Garzón,648006,4,49840906,2017-06-26T16:34:39Z
28685454,Raul Gonzalez,1947048,7,22650156,2014-05-31T05:48:09Z
28685455,Antonio Garzón,648006,3,31182591,2015-05-15T17:24:46Z
