id,node_id,position
24030380,145793511,0
24030380,392505393,1
24030380,145793517,2
24030380,145793519,3
24030380,145793522,4
24030380,145793526,5
24030380,145793528,6
24030380,308023753,7
24030380,145793531,8
24030380,145793532,9
24030380,308023740,10
24030380,145793534,11
24030380,145793535,12
24030381,359068941,0
24256630,262628077,0
24256630,3095908678,1
24256630,3095908639,2
24256630,3095908672,3
24256630,262628078,4
24256631,262628076,0
24256631,262628077,1
24256632,359010504,0
24256632,359010505,1
24256633,262628081,0
24256633,2324689588,1
24256633,315367175,2
24256634,1832209138,0
24256634,1643700758,1
24256634,1643700759,2
24256634,2704147006,3
24256634,315294373,4
24256635,1705209477,0
24256635,1805192895,1
24256635,1781550478,2
24256636,262628127,0
24256636,1835480966,1
24256636,1835481068,2
24256636,262628128,3
24256636,1835481093,4
24256636,306575536,5
24256636,308022355,6
24256636,1804218178,7
24256636,315292329,8
24256636,1804218179,9
24256636,315292360,10
24256636,262628129,11
24256636,3300665017,12
24256636,1828974215,13
24256636,315292188,14
24256638,262628094,0
24256638,262628093,1
24256638,262628096,2
24256638,262628095,3
24256638,262628098,4
24256638,315366912,5
24256638,2291315761,6
24256638,315291221,7
24256638,2325450018,8
24256638,315291223,9
24256638,315291225,10
24256638,315291228,11
24256638,262628089,12
24256638,262628092,13
24256638,262628091,14
24256638,306575306,15
24256638,262628094,16
24650215,2576145831,0
24650215,262161636,1
26636807,292165080,0
26636807,2576173446,1
26636807,2576173455,2
26636807,2576173440,3
26636807,292165081,4
27912163,308022815,0
27912163,306396718,1
27912163,308023998,2
27912163,1804218449,3
27912163,1379337459,4
27912163,828939968,5
27912164,306396738,0
27912164,2329374608,1
27912164,306575765,2
27912167,315366173,0
27912167,2661750441,1
27912167,359067182,2
27912170,315064199,0
27912170,306396861,1
27912170,3151397517,2
27912170,306396860,3
27912170,3255438575,4
27912170,412276099,5
27912170,3255438578,6
27912170,2879713746,7
27912170,306396859,8
27912170,3156494263,9
27912170,308022475,10
27912170,306396858,11
27912170,3156494266,12
27912170,3255438582,13
27912170,4442288294,14
27912170,1805192904,15
27912176,3046050168,0
27912176,3046050167,1
27912176,435134238,2
27912176,308022874,3
27912176,3046050161,4
27912178,3095908853,0
27912178,3095908851,1
27912178,306397065,2
27912178,306397066,3
27912178,324195512,4
27912178,306397067,5
27912178,324195498,6
27912178,308023288,7
27912178,1783003872,8
27912178,828603801,9
27912199,315365895,0
27912199,306397152,1
27912199,1824663390,2
27912199,560443555,3
27912202,315064197,0
27912202,3255438570,1
27912202,412276180,2
27912202,3990965602,3
27912202,412275218,4
27912202,3990965601,5
27912202,1782877325,6
27912202,412276045,7
27912202,308022427,8
27912204,315364957,0
27912204,306397208,1
27912204,3255438561,2
27912204,3151397488,3
27912204,308022058,4
27912204,3255438563,5
27912204,359062219,6
27912204,2864824645,7
27912204,2864824646,8
27912204,3151397503,9
27912204,3151397497,10
27912204,3151397461,11
27912204,3151397467,12
27912204,3151396448,13
27912204,3151397508,14
27912204,308021854,15
27912204,3151397472,16
27912204,3151397498,17
27912204,306397207,18
27912204,1829161735,19
27912204,315292107,20
27912205,315064193,0
27912205,3151396453,1
27912205,306397225,2
27912205,3151397491,3
27912205,3151397502,4
27912205,3151397511,5
27912205,3151397481,6
27912205,3255438564,7
27912205,2904628569,8
27912205,3255438562,9
27912205,3255438460,10
27912205,3255438459,11
27912205,306397226,12
27912208,315365405,0
27912208,3504805253,1
27912208,306397282,2
27912211,315364833,0
27912211,306397266,1
27912211,3255438425,2
27912211,2684178803,3
27912216,1876397465,0
27912216,306397343,1
27912216,1876397468,2
27912216,1876397472,3
27912216,315365265,4
27912222,315365154,0
27912222,1876397434,1
27912222,1782795669,2
27912222,306397370,3
27912222,1876397425,4
27912222,356304043,5
27912222,1876397422,6
27912222,1876397428,7
27912222,2688277873,8
27912222,356304044,9
27912222,1498420128,10
27912260,306575255,0
27912260,2319703443,1
27912260,2868328623,2
27912260,2319703460,3
27912260,2868328621,4
27912260,2868328617,5
27912260,552445538,6
27912260,2768366039,7
27912260,2768366041,8
27912260,2768366065,9
27912260,2768366064,10
27912260,1826200088,11
27912260,306397551,12
27912260,1823322175,13
27912260,1823322142,14
27912260,306397552,15
27912260,1802928531,16
27912260,306397553,17
27912260,1802928445,18
27912260,1802928450,19
27912260,1802928452,20
27912260,1802928449,21
27912260,1802928448,22
27912260,1802928443,23
27912260,1802928439,24
27912260,1802928442,25
27912260,306397554,26
27912260,1802928458,27
27912260,412278327,28
27912260,1805192712,29
27912260,306397556,30
27912260,306575255,31
27912265,306397604,0
27912265,1876447416,1
27912265,315365321,2
27912265,315365322,3
27912265,306576029,4
27912273,306397685,0
27912273,1806317750,1
27912273,4938282918,2
27912273,3703496676,3
27912273,1827676841,4
27912273,1827676854,5
27912273,3703496674,6
27912273,315295016,7
27912480,359060779,0
27912480,308024891,1
27917530,448232820,0
27917530,2041288106,1
27917530,2041288110,2
27917530,2041288112,3
27917530,2041288114,4
27917530,2041288115,5
27917530,2041288117,6
27917530,306462107,7
27917530,2041288130,8
27917530,2041288132,9
27917530,4932100657,10
27917530,4932100658,11
27917530,4932100659,12
27930232,308024463,0
27930232,1079514324,1
27930232,1079513919,2
27930232,1079514261,3
27930232,308024497,4
27930232,308024349,5
27930232,1079513791,6
27930232,308024351,7
27930232,1079514687,8
27930232,308024353,9
27930232,1079513831,10
27930232,308024355,11
27930232,308024325,12
27930498,306573647,0
27930498,2898848452,1
27930498,2898848453,2
27930498,306573648,3
27930498,2292651433,4
27930498,2292651443,5
27930498,306573651,6
27930498,306573652,7
27930498,306573653,8
27930498,2292651430,9
27930498,2902832451,10
27930498,2292651460,11
27930498,306573654,12
27930498,2902832452,13
27930498,306573655,14
27930498,2902832453,15
27930498,2889842938,16
27930498,306573647,17
27930682,1805521007,0
27930682,1805521005,1
27930682,1805521004,2
27930682,315365728,3
27930687,306574937,0
27930687,2868328626,1
27930687,1937862644,2
27930687,4937400631,3
27930687,1937862645,4
27930687,2868328625,5
27930687,1804217775,6
27930687,308752787,7
27930708,306957707,0
27930708,359061393,1
27930708,308023963,2
27930713,338310061,0
27930713,2324510517,1
27930713,4936779822,2
27930713,3007308144,3
27930730,306575255,0
27930730,2717965897,1
27930730,2319703399,2
27930730,1876447360,3
27930730,3042455703,4
27930730,1876397129,5
27930730,2702287865,6
27930730,2702287877,7
27930730,306575257,8
27930730,2702287876,9
27930730,2702287866,10
27930730,2702287882,11
27930730,2702287886,12
27930730,3255438405,13
27930730,3255438413,14
27930730,3255438414,15
27930730,3255438415,16
27930730,3255438416,17
27930730,3255438417,18
27930730,3255438418,19
27930730,2904628584,20
27930730,2904628583,21
27930730,306575259,22
27930730,306575260,23
27930730,1825408000,24
27930730,1825408006,25
27930730,306575261,26
27930730,1825408068,27
27930730,306575262,28
27930730,1825408318,29
27930730,1825408326,30
27930730,1825408329,31
27930730,308022663,32
27930730,1825408359,33
27930730,1825408360,34
27930730,1825408363,35
27930730,1825408368,36
27930730,306575263,37
27930730,306575264,38
27930730,1825408382,39
27930730,306575265,40
27930730,306575266,41
27930730,2891532928,42
27930730,2891532979,43
27930730,306575267,44
27930730,306575268,45
27930730,4658781625,46
27930730,306575269,47
27930730,3095908723,48
27930730,2717965902,49
27930730,2098810847,50
27930730,308022755,51
27930730,308023250,52
27930730,1804218337,53
27930730,2894142492,54
27930730,317777521,55
27930730,2770360532,56
27930730,2770360527,57
27930730,306575282,58
27930730,412273856,59
27930730,306575283,60
27930730,315289521,61
27930730,2770396540,62
27930730,2770396542,63
27930730,3294552761,64
27930730,3294546660,65
27930730,3294546659,66
27930730,3294552762,67
27930730,3294552763,68
27930730,2770396567,69
27930730,3294552764,70
27930730,3294552765,71
27930730,2389488397,72
27930730,3294552766,73
27930730,2888473225,74
27930730,2887771911,75
27930730,2770396551,76
27930730,2770396544,77
27930730,2887771913,78
27930730,3007308140,79
27930730,3007308161,80
27930730,3907001273,81
27930730,3007308155,82
27930730,3369960469,83
27930730,3369960461,84
27930730,3294552769,85
27930730,3369960465,86
27930730,3294552768,87
27930730,3294552770,88
27930730,3294552771,89
27930730,3369949826,90
27930730,3294552782,91
27930730,306461255,92
27930730,306461257,93
27930730,1828931311,94
27930730,359868707,95
27930730,306461239,96
27930730,1828931320,97
27930730,1828931310,98
27930730,1828931313,99
27930730,1828931317,100
27930730,1828931318,101
27930730,4857800564,102
27930730,1828931319,103
27930730,4857800565,104
27930730,359869088,105
27930730,1828931324,106
27930730,306461242,107
27930730,1828931323,108
27930730,1828931322,109
27930730,306461243,110
27930730,306461245,111
27930730,306461246,112
27930730,1828931330,113
27930730,1828931329,114
27930730,1828931326,115
27930730,1828931325,116
27930730,306461247,117
27930730,2292651456,118
27930730,2292651438,119
27930730,2292651450,120
27930730,306461249,121
27930730,2292651455,122
27930730,306461251,123
27930730,2292651449,124
27930730,2292651452,125
27930730,2292651441,126
27930730,306461252,127
27930730,4926242778,128
27930730,2887771918,129
27930730,2887771917,130
27930730,4926242777,131
27930730,2887771916,132
27930730,306461332,133
27930730,306461333,134
27930730,306461334,135
27930730,2131631033,136
27930730,2131631062,137
27930730,2131631065,138
27930730,2131631064,139
27930730,306461335,140
27930730,2318852832,141
27930730,2318852825,142
27930730,306461336,143
27930730,2770341247,144
27930730,2770341245,145
27930730,2770341243,146
27930730,2770321701,147
27930730,2770341242,148
27930730,2770341240,149
27930730,2770341236,150
27930730,2770341234,151
27930730,2770341232,152
27930730,2770341230,153
27930730,2770341228,154
27930730,3346139892,155
27930730,2770741580,156
27930730,3346140295,157
27930730,2770741578,158
27930730,3346140296,159
27930730,2770741575,160
27930730,3346140297,161
27930730,2770341226,162
27930730,3703496645,163
27930730,2770341224,164
27930730,2770341219,165
27930730,2770341216,166
27930730,2770341214,167
27930730,2770341212,168
27930730,2770341210,169
27930730,2904570877,170
27930730,2904570876,171
27930730,2904570875,172
27930730,2904570874,173
27930730,2904570873,174
27930730,2770341208,175
27930730,2770341206,176
27930730,2770341204,177
27930730,3701953161,178
27930730,2770341200,179
27930730,2770341197,180
27930730,2904570872,181
27930730,2770321710,182
27930730,2335382783,183
27930730,2770321718,184
27930730,2335382778,185
27930730,2335382776,186
27930730,2335382769,187
27930730,2335382770,188
27930730,2894465168,189
27930730,2335382772,190
27930730,2335382771,191
27930730,2335382767,192
27930730,2770321715,193
27930730,2770321714,194
27930730,2904565293,195
27930730,2904565291,196
27930730,2904565289,197
27930730,2904565288,198
27930730,2904565290,199
27930730,2904565292,200
27930730,2770321711,201
27930730,2770321709,202
27930730,2760236618,203
27930730,2784075635,204
27930730,2784075638,205
27930730,2770321707,206
27930730,2784075637,207
27930730,2784075639,208
27930730,2784075636,209
27930730,2717948139,210
27930730,2770321692,211
27930730,2770321691,212
27930730,1802928409,213
27930730,2770321690,214
27930730,2770321689,215
27930730,2774730628,216
27930730,2774730633,217
27930730,2774730631,218
27930730,2774730632,219
27930730,2770321688,220
27930730,2770321682,221
27930730,2770321683,222
27930730,306397551,223
27930730,1826200088,224
27930730,552445538,225
27930730,2868328617,226
27930730,2868328621,227
27930730,2319703460,228
27930730,2868328623,229
27930730,2319703443,230
27930730,306575255,231
27930731,3046050140,0
27930731,306575294,1
27930731,306575295,2
27930731,2394052187,3
27930731,2391649148,4
27930731,306575282,5
27930732,831664617,0
27930732,2391649149,1
27930732,412273856,2
27930735,306575306,0
27930735,2291899861,1
27930735,1379337367,2
27930735,308752019,3
27930735,2291899860,4
27930735,2290244651,5
27930735,4409984342,6
27930735,2291792053,7
27930735,315289962,8
27930738,323135837,0
27930738,2324510515,1
27930738,3007308167,2
27930742,306397179,0
27930742,306575395,1
27930742,356305068,2
27930747,306575435,0
27930747,315289564,1
27930747,1781550484,2
27930747,306575528,3
27930747,308024996,4
27930747,3156580264,5
27930747,2320894776,6
27930747,359067463,7
27930747,308024978,8
27930747,308024979,9
27930749,306575536,0
27930749,306575555,1
27930749,1807019572,2
27930749,1807019571,3
27930749,1824869052,4
27930749,306575714,5
27930749,1824869049,6
27930749,359057902,7
27930749,306575556,8
